state,varroa mites,other pests,diseases,pesticides,other,unknown,quarter,state code,year,initial count,max,lost,added,renovated,period,region,lost perc,renovated perc,new count,end count
Georgia,35.3,7.0,0.2,2.6,4.4,1.8,Q1,GA,2017,123000.0,125000.0,14000.0,25000.0,21000.0,2017Q1,South,11.0,17.0,109000.0,155000.0
Georgia,34.1,5.8,1.0,6.6,6.5,2.8,Q2,GA,2017,130000.0,137000.0,12500.0,21000.0,31000.0,2017Q2,South,9.0,23.0,117500.0,169500.0
Georgia,47.6,18.0,2.3,14.1,15.1,6.9,Q3,GA,2017,121000.0,122000.0,15500.0,19000.0,23000.0,2017Q3,South,13.0,19.0,105500.0,147500.0
Georgia,56.8,15.1,12.3,15.3,3.6,4.6,Q4,GA,2017,125000.0,145000.0,21000.0,4300.0,2200.0,2017Q4,South,14.0,2.0,104000.0,110500.0
Georgia,39.6,18.7,0.9,14.8,27.1,2.1,Q1,GA,2018,134000.0,139000.0,25000.0,29000.0,39000.0,2018Q1,South,18.0,28.0,109000.0,177000.0
Georgia,53.0,25.9,13.8,14.8,31.4,10.1,Q2,GA,2018,131000.0,137000.0,18000.0,35000.0,16000.0,2018Q2,South,13.0,12.0,113000.0,164000.0
Georgia,49.8,20.4,2.4,27.7,6.0,7.2,Q3,GA,2018,134000.0,138000.0,17000.0,27000.0,33000.0,2018Q3,South,12.0,24.0,117000.0,177000.0
Georgia,41.4,17.4,9.2,6.9,5.6,7.8,Q4,GA,2018,148000.0,164000.0,19500.0,6500.0,49000.0,2018Q4,South,12.0,30.0,128500.0,184000.0
Georgia,69.6,17.8,7.4,9.6,10.6,4.9,Q1,GA,2019,120000.0,129000.0,14500.0,19500.0,8000.0,2019Q1,South,11.0,6.0,105500.0,133000.0
Georgia,61.05,18.2,4.5,17.7,13.85,4.75,Q2,GA,2019,118000.0,123500.0,13750.0,15750.0,22000.0,2019Q2,South,12.0,19.0,104250.0,142000.0
Georgia,52.5,18.6,1.6,25.8,17.1,4.6,Q3,GA,2019,116000.0,118000.0,13000.0,12000.0,36000.0,2019Q3,South,11.0,31.0,103000.0,151000.0
Georgia,34.3,18.2,5.6,9.1,2.6,4.4,Q4,GA,2019,119000.0,131000.0,20000.0,10500.0,10500.0,2019Q4,South,15.0,8.0,99000.0,120000.0
Georgia,50.9,3.4,0.0,0.0,0.0,7.5,Q1,GA,2020,115000.0,119000.0,14500.0,41000.0,22000.0,2020Q1,South,12.0,18.0,100500.0,163500.0
Georgia,47.9,19.6,6.9,2.9,7.9,13.4,Q2,GA,2020,145000.0,147000.0,10000.0,18500.0,20000.0,2020Q2,South,7.0,14.0,135000.0,173500.0
Georgia,49.6,22.5,3.5,3.4,5.3,13.0,Q3,GA,2020,150000.0,163000.0,23000.0,22000.0,35000.0,2020Q3,South,14.0,21.0,127000.0,184000.0
Georgia,35.5,12.9,1.8,7.5,1.9,6.7,Q4,GA,2020,165000.0,174000.0,30000.0,11000.0,11000.0,2020Q4,South,17.0,6.0,135000.0,157000.0
Hawaii,38.8,37.7,1.6,0.0,2.0,0.0,Q1,HI,2015,10500.0,10500.0,380.0,3400.0,760.0,2015Q1,West,4.0,7.0,10120.0,14280.0
Hawaii,60.1,61.0,0.3,0.1,3.2,0.1,Q2,HI,2015,13500.0,13500.0,120.0,1100.0,1200.0,2015Q2,West,1.0,9.0,13380.0,15680.0
Hawaii,78.1,80.5,0.1,0.1,2.5,0.0,Q3,HI,2015,14500.0,14500.0,2700.0,1200.0,5500.0,2015Q3,West,19.0,38.0,11800.0,18500.0
Hawaii,31.0,33.9,0.2,0.0,0.0,0.0,Q4,HI,2015,13000.0,13000.0,690.0,2700.0,760.0,2015Q4,West,5.0,6.0,12310.0,15770.0
Hawaii,0.3,1.5,0.1,0.1,0.8,0.0,Q1,HI,2016,15000.0,15000.0,280.0,570.0,530.0,2016Q1,West,2.0,4.0,14720.0,15820.0
Hawaii,35.6,38.1,0.0,0.6,3.2,0.03,Q2,HI,2016,13500.0,13500.0,830.0,870.0,675.0,2016Q2,West,6.0,5.0,12670.0,14215.0
Hawaii,67.8,75.3,0.1,0.8,1.7,0.07,Q3,HI,2016,13500.0,13500.0,600.0,430.0,820.0,2016Q3,West,4.0,6.0,12900.0,14150.0
Hawaii,39.9,40.8,0.15,0.1,0.2,0.1,Q4,HI,2016,13500.0,13500.0,970.0,60.0,840.0,2016Q4,West,7.0,6.0,12530.0,13430.0
Hawaii,1.2,2.1,0.2,0.1,0.1,0.1,Q1,HI,2017,13000.0,13000.0,190.0,510.0,50.0,2017Q1,West,1.0,0.0,12810.0,13370.0
Hawaii,88.9,3.7,0.0,0.1,0.4,0.05,Q2,HI,2017,12000.0,12000.0,70.0,3000.0,920.0,2017Q2,West,1.0,8.0,11930.0,15850.0
Hawaii,2.8,4.3,0.3,0.1,2.0,0.0,Q3,HI,2017,15000.0,15000.0,1100.0,430.0,20.0,2017Q3,West,7.0,0.0,13900.0,14350.0
Hawaii,57.2,66.1,0.1,0.1,0.1,0.0,Q4,HI,2017,15000.0,15000.0,130.0,970.0,290.0,2017Q4,West,1.0,2.0,14870.0,16130.0
Hawaii,83.0,84.5,0.1,0.1,0.1,0.0,Q1,HI,2018,17000.0,17000.0,1600.0,1200.0,5000.0,2018Q1,West,9.0,29.0,15400.0,21600.0
Hawaii,88.3,91.9,0.4,0.1,0.8,0.2,Q2,HI,2018,16500.0,16500.0,380.0,330.0,3100.0,2018Q2,West,2.0,19.0,16120.0,19550.0
Hawaii,88.3,89.4,0.1,0.1,0.1,0.2,Q3,HI,2018,16500.0,16500.0,1800.0,1700.0,3000.0,2018Q3,West,11.0,18.0,14700.0,19400.0
Hawaii,70.5,83.3,0.0,0.4,0.1,0.2,Q4,HI,2018,16000.0,16000.0,940.0,1700.0,6000.0,2018Q4,West,6.0,38.0,15060.0,22760.0
Hawaii,72.1,64.9,0.1,0.7,2.9,0.2,Q1,HI,2019,16500.0,16500.0,390.0,660.0,3700.0,2019Q1,West,2.0,22.0,16110.0,20470.0
Hawaii,54.65,51.95,0.2,0.8,2.1,0.2,Q2,HI,2019,16750.0,16750.0,295.0,430.0,4850.0,2019Q2,West,2.0,29.0,16455.0,21735.0
Hawaii,37.2,39.0,0.3,0.9,1.3,0.2,Q3,HI,2019,17000.0,17000.0,200.0,200.0,6000.0,2019Q3,West,1.0,35.0,16800.0,23000.0
Hawaii,44.0,61.8,0.2,1.0,0.1,0.1,Q4,HI,2019,17000.0,17000.0,1300.0,300.0,50.0,2019Q4,West,8.0,0.0,15700.0,16050.0
Hawaii,75.3,60.8,0.0,0.67,0.0,0.0,Q1,HI,2020,16000.0,16000.0,1800.0,1300.0,2200.0,2020Q1,West,11.0,14.0,14200.0,17700.0
Hawaii,43.1,41.1,1.0,0.33,1.1,0.0,Q2,HI,2020,15500.0,15500.0,1150.0,3000.0,2300.0,2020Q2,West,7.0,15.0,14350.0,19650.0
Hawaii,62.7,63.5,0.0,0.0,0.5,0.0,Q3,HI,2020,18500.0,18500.0,500.0,4000.0,3400.0,2020Q3,West,3.0,18.0,18000.0,25400.0
Hawaii,57.2,65.2,0.0,0.0,2.9,0.0,Q4,HI,2020,22000.0,22000.0,2700.0,200.0,370.0,2020Q4,West,12.0,2.0,19300.0,19870.0
Idaho,39.8,6.7,12.5,4.8,8.9,4.9,Q1,ID,2015,81000.0,88000.0,3700.0,2600.0,8000.0,2015Q1,West,4.0,9.0,77300.0,87900.0
Idaho,25.5,6.7,6.5,6.0,13.7,0.3,Q2,ID,2015,62000.0,72000.0,6500.0,16500.0,10500.0,2015Q2,West,9.0,15.0,55500.0,82500.0
Idaho,46.8,5.2,1.7,10.0,2.2,6.4,Q3,ID,2015,80000.0,128000.0,14000.0,5500.0,11500.0,2015Q3,West,11.0,9.0,66000.0,83000.0
Idaho,38.9,0.6,4.3,4.0,2.8,4.5,Q4,ID,2015,121000.0,145000.0,22000.0,5500.0,5500.0,2015Q4,West,15.0,4.0,99000.0,110000.0
Idaho,31.5,2.3,2.1,5.9,5.4,1.4,Q1,ID,2016,91000.0,98000.0,8500.0,5500.0,3300.0,2016Q1,West,9.0,3.0,82500.0,91300.0
Idaho,21.2,4.8,2.7,3.1,5.4,2.7,Q2,ID,2016,60000.0,80000.0,6000.0,19000.0,5500.0,2016Q2,West,8.0,7.0,54000.0,78500.0
Idaho,25.3,4.7,4.5,7.6,6.0,3.3,Q3,ID,2016,79000.0,131000.0,13000.0,1900.0,2800.0,2016Q3,West,10.0,2.0,66000.0,70700.0
Idaho,31.9,0.8,4.8,0.2,4.2,3.0,Q4,ID,2016,121000.0,143000.0,15500.0,5000.0,420.0,2016Q4,West,11.0,0.0,105500.0,110920.0
Idaho,74.2,42.3,42.3,21.2,1.7,0.4,Q1,ID,2017,95000.0,99000.0,8500.0,2000.0,280.0,2017Q1,West,9.0,0.0,86500.0,88780.0
Idaho,30.5,6.4,4.0,8.3,7.8,4.8,Q2,ID,2017,61000.0,78000.0,10500.0,22000.0,31000.0,2017Q2,West,13.0,40.0,50500.0,103500.0
Idaho,53.7,19.1,6.7,15.5,9.5,5.1,Q3,ID,2017,89000.0,116000.0,12000.0,9000.0,16500.0,2017Q3,West,10.0,14.0,77000.0,102500.0
Idaho,34.0,16.9,17.7,14.9,1.7,0.2,Q4,ID,2017,113000.0,164000.0,9000.0,10000.0,5000.0,2017Q4,West,5.0,3.0,104000.0,119000.0
Idaho,28.3,5.7,0.8,3.4,3.4,0.4,Q1,ID,2018,164000.0,168000.0,22000.0,2500.0,2600.0,2018Q1,West,13.0,2.0,142000.0,147100.0
Idaho,51.6,3.7,3.0,18.5,4.1,4.4,Q2,ID,2018,59000.0,94000.0,6500.0,14500.0,29000.0,2018Q2,West,7.0,31.0,52500.0,96000.0
Idaho,83.6,5.4,14.6,26.5,13.8,5.7,Q3,ID,2018,82000.0,101000.0,14000.0,15000.0,21000.0,2018Q3,West,14.0,21.0,68000.0,104000.0
Idaho,64.9,47.4,9.6,15.9,7.0,4.5,Q4,ID,2018,99000.0,159000.0,15000.0,9000.0,910.0,2018Q4,West,9.0,1.0,84000.0,93910.0
Idaho,24.5,8.0,8.0,9.2,8.6,0.0,Q1,ID,2019,132000.0,145000.0,12500.0,4600.0,1100.0,2019Q1,West,9.0,1.0,119500.0,125200.0
Idaho,42.2,11.7,14.85,9.55,13.55,0.4,Q2,ID,2019,113500.0,128000.0,11500.0,6550.0,6800.0,2019Q2,West,10.0,6.0,102000.0,115350.0
Idaho,59.9,15.4,21.7,9.9,18.5,0.8,Q3,ID,2019,95000.0,111000.0,10500.0,8500.0,12500.0,2019Q3,West,9.0,11.0,84500.0,105500.0
Idaho,20.3,4.3,5.4,10.5,9.9,1.1,Q4,ID,2019,111000.0,196000.0,15500.0,1800.0,1000.0,2019Q4,West,8.0,1.0,95500.0,98300.0
Idaho,10.4,0.8,0.0,2.8,2.1,1.9,Q1,ID,2020,156000.0,168000.0,18500.0,4400.0,920.0,2020Q1,West,11.0,1.0,137500.0,142820.0
Idaho,44.2,10.9,11.1,8.6,6.9,5.8,Q2,ID,2020,48000.0,81000.0,18000.0,22000.0,29000.0,2020Q2,West,22.0,36.0,30000.0,81000.0
Idaho,45.0,2.6,6.7,10.9,9.0,3.8,Q3,ID,2020,70000.0,85000.0,11000.0,18500.0,8500.0,2020Q3,West,13.0,10.0,59000.0,86000.0
Idaho,52.1,8.9,4.3,4.8,4.8,5.4,Q4,ID,2020,94000.0,180000.0,19000.0,8000.0,1700.0,2020Q4,West,11.0,1.0,75000.0,84700.0
Illinois,12.3,6.9,0.7,0.4,12.6,11.6,Q1,IL,2015,6000.0,10500.0,4200.0,2300.0,390.0,2015Q1,Midwest,40.0,4.0,1800.0,4490.0
Illinois,10.3,3.7,0.2,2.5,2.3,2.4,Q2,IL,2015,9500.0,9500.0,1300.0,6000.0,1500.0,2015Q2,Midwest,14.0,16.0,8200.0,15700.0
Illinois,7.7,3.0,0.6,0.4,3.4,1.0,Q3,IL,2015,14000.0,14000.0,1400.0,1300.0,1100.0,2015Q3,Midwest,10.0,8.0,12600.0,15000.0
Illinois,9.4,2.5,0.3,0.9,1.0,3.1,Q4,IL,2015,14000.0,14000.0,690.0,1080.0,30.0,2015Q4,Midwest,5.0,0.0,13310.0,14420.0
Illinois,12.4,6.4,0.3,2.6,4.6,8.6,Q1,IL,2016,8500.0,9500.0,1400.0,860.0,40.0,2016Q1,Midwest,15.0,0.0,7100.0,8000.0
Illinois,11.4,4.4,2.0,3.1,4.7,2.1,Q2,IL,2016,9000.0,9000.0,740.0,2200.0,380.0,2016Q2,Midwest,8.0,4.0,8260.0,10840.0
Illinois,17.4,7.9,0.7,4.3,2.9,1.6,Q3,IL,2016,11000.0,11000.0,1300.0,850.0,310.0,2016Q3,Midwest,12.0,3.0,9700.0,10860.0
Illinois,27.8,11.7,1.2,5.6,3.9,4.8,Q4,IL,2016,9000.0,9000.0,720.0,1975.0,230.0,2016Q4,Midwest,8.0,3.0,8280.0,10485.0
Illinois,21.2,13.1,0.5,3.7,9.9,8.0,Q1,IL,2017,11000.0,11000.0,2900.0,3100.0,150.0,2017Q1,Midwest,26.0,1.0,8100.0,11350.0
Illinois,11.3,4.3,0.7,3.0,5.6,1.5,Q2,IL,2017,11500.0,12000.0,1200.0,3600.0,1600.0,2017Q2,Midwest,10.0,13.0,10300.0,15500.0
Illinois,29.9,14.2,2.8,2.8,4.6,3.3,Q3,IL,2017,13000.0,13000.0,1100.0,710.0,1200.0,2017Q3,Midwest,8.0,9.0,11900.0,13810.0
Illinois,28.9,10.2,0.8,7.9,4.9,4.9,Q4,IL,2017,13500.0,13500.0,1800.0,140.0,460.0,2017Q4,Midwest,13.0,3.0,11700.0,12300.0
Illinois,25.7,11.2,3.6,3.5,10.4,10.9,Q1,IL,2018,10500.0,10500.0,2400.0,1000.0,630.0,2018Q1,Midwest,23.0,6.0,8100.0,9730.0
Illinois,13.7,7.8,6.7,6.6,9.9,2.4,Q2,IL,2018,10000.0,10500.0,2300.0,5000.0,2900.0,2018Q2,Midwest,22.0,28.0,7700.0,15600.0
Illinois,21.2,10.6,2.1,5.1,1.5,7.0,Q3,IL,2018,11000.0,11000.0,660.0,700.0,420.0,2018Q3,Midwest,6.0,4.0,10340.0,11460.0
Illinois,27.2,13.1,2.4,2.8,6.9,5.7,Q4,IL,2018,12000.0,12000.0,1400.0,600.0,350.0,2018Q4,Midwest,12.0,3.0,10600.0,11550.0
Illinois,33.3,14.7,3.1,0.7,15.5,10.1,Q1,IL,2019,9000.0,9000.0,2300.0,210.0,80.0,2019Q1,Midwest,26.0,1.0,6700.0,6990.0
Illinois,34.6,11.5,1.9,1.6,10.5,10.8,Q2,IL,2019,11250.0,11250.0,1620.0,335.0,690.0,2019Q2,Midwest,14.0,6.0,9630.0,10655.0
Illinois,35.9,8.3,0.7,2.5,5.5,11.5,Q3,IL,2019,13500.0,13500.0,940.0,460.0,1300.0,2019Q3,Midwest,7.0,10.0,12560.0,14320.0
Illinois,28.9,27.3,1.1,3.4,8.9,8.9,Q4,IL,2019,13000.0,13000.0,1700.0,1000.0,1500.0,2019Q4,Midwest,13.0,12.0,11300.0,13800.0
Illinois,17.2,8.9,0.0,5.85,7.3,10.0,Q1,IL,2020,11500.0,11500.0,2400.0,2900.0,160.0,2020Q1,Midwest,21.0,1.0,9100.0,12160.0
Illinois,23.5,8.2,1.0,8.3,11.9,4.0,Q2,IL,2020,12000.0,12000.0,1500.0,4200.0,1700.0,2020Q2,Midwest,13.0,14.0,10500.0,16400.0
Illinois,28.1,15.6,1.8,4.9,6.6,8.4,Q3,IL,2020,14000.0,14000.0,1400.0,770.0,690.0,2020Q3,Midwest,10.0,5.0,12600.0,14060.0
Illinois,26.4,9.8,1.1,2.9,2.7,6.9,Q4,IL,2020,13000.0,13000.0,1700.0,330.0,410.0,2020Q4,Midwest,13.0,3.0,11300.0,12040.0
Indiana,20.7,0.3,0.2,0.3,22.3,11.7,Q1,IN,2015,9000.0,9500.0,2100.0,490.0,120.0,2015Q1,Midwest,22.0,1.0,6900.0,7510.0
Indiana,15.4,1.8,7.0,0.5,4.4,2.0,Q2,IN,2015,8000.0,12500.0,1300.0,4900.0,4300.0,2015Q2,Midwest,10.0,34.0,6700.0,15900.0
Indiana,13.7,10.3,4.8,8.2,1.0,6.2,Q3,IN,2015,15000.0,15000.0,1600.0,1400.0,420.0,2015Q3,Midwest,11.0,3.0,13400.0,15220.0
Indiana,15.1,0.5,6.3,0.1,0.6,3.7,Q4,IN,2015,11500.0,11500.0,1100.0,140.0,580.0,2015Q4,Midwest,10.0,5.0,10400.0,11120.0
Indiana,17.4,3.7,0.9,0.3,7.2,5.5,Q1,IN,2016,6500.0,6500.0,770.0,30.0,740.0,2016Q1,Midwest,12.0,11.0,5730.0,6500.0
Indiana,12.5,2.9,0.0,2.1,2.8,4.3,Q2,IN,2016,4300.0,7000.0,220.0,2700.0,900.0,2016Q2,Midwest,3.0,13.0,4080.0,7680.0
Indiana,50.4,12.4,1.2,0.6,2.5,1.2,Q3,IN,2016,9500.0,9500.0,600.0,450.0,550.0,2016Q3,Midwest,6.0,6.0,8900.0,9900.0
Indiana,28.2,9.6,0.2,1.4,1.0,3.8,Q4,IN,2016,7500.0,7500.0,1200.0,20.0,310.0,2016Q4,Midwest,16.0,4.0,6300.0,6630.0
Indiana,15.8,8.0,5.2,4.1,10.4,7.1,Q1,IN,2017,7000.0,7500.0,1900.0,1700.0,70.0,2017Q1,Midwest,25.0,1.0,5100.0,6870.0
Indiana,5.5,2.1,0.1,43.3,8.6,1.2,Q2,IN,2017,7500.0,11000.0,1200.0,3000.0,510.0,2017Q2,Midwest,11.0,5.0,6300.0,9810.0
Indiana,13.9,5.9,0.4,3.9,3.8,2.0,Q3,IN,2017,13000.0,13000.0,930.0,420.0,740.0,2017Q3,Midwest,7.0,6.0,12070.0,13230.0
Indiana,23.5,5.6,1.7,0.7,3.9,8.0,Q4,IN,2017,11500.0,11500.0,1700.0,320.0,100.0,2017Q4,Midwest,15.0,1.0,9800.0,10220.0
Indiana,33.4,8.3,3.0,0.5,9.9,3.7,Q1,IN,2018,7000.0,8000.0,1000.0,300.0,30.0,2018Q1,Midwest,13.0,0.0,6000.0,6330.0
Indiana,78.0,3.5,0.4,4.5,1.3,1.1,Q2,IN,2018,8000.0,9500.0,1800.0,4000.0,730.0,2018Q2,Midwest,19.0,8.0,6200.0,10930.0
Indiana,29.5,12.2,1.4,20.6,5.0,0.5,Q3,IN,2018,11500.0,11500.0,990.0,520.0,1200.0,2018Q3,Midwest,9.0,10.0,10510.0,12230.0
Indiana,51.3,21.3,23.8,64.6,35.4,2.3,Q4,IN,2018,9000.0,9000.0,3300.0,40.0,1200.0,2018Q4,Midwest,37.0,13.0,5700.0,6940.0
Indiana,15.6,8.8,2.6,5.5,7.1,1.7,Q1,IN,2019,6000.0,6000.0,710.0,440.0,280.0,2019Q1,Midwest,12.0,5.0,5290.0,6010.0
Indiana,35.65,12.0,2.8,14.3,13.15,1.55,Q2,IN,2019,10000.0,11000.0,855.0,1320.0,890.0,2019Q2,Midwest,9.0,9.0,9145.0,11355.0
Indiana,55.7,15.2,3.0,23.1,19.2,1.4,Q3,IN,2019,14000.0,16000.0,1000.0,2200.0,1500.0,2019Q3,Midwest,6.0,9.0,13000.0,16700.0
Indiana,20.7,15.0,2.6,6.7,1.6,0.6,Q4,IN,2019,17500.0,17500.0,1300.0,160.0,180.0,2019Q4,Midwest,7.0,1.0,16200.0,16540.0
Indiana,8.2,0.5,0.0,2.9,1.9,6.2,Q1,IN,2020,11000.0,11000.0,1600.0,1500.0,420.0,2020Q1,Midwest,15.0,4.0,9400.0,11320.0
Indiana,26.8,12.5,1.8,20.2,5.4,1.5,Q2,IN,2020,11000.0,12000.0,920.0,4500.0,1800.0,2020Q2,Midwest,8.0,15.0,10080.0,16380.0
Indiana,41.4,12.0,1.7,24.5,0.7,1.3,Q3,IN,2020,15000.0,15000.0,1600.0,1200.0,2700.0,2020Q3,Midwest,11.0,18.0,13400.0,17300.0
Indiana,26.3,4.1,0.0,1.9,2.4,5.7,Q4,IN,2020,10000.0,11000.0,930.0,240.0,260.0,2020Q4,Midwest,8.0,2.0,9070.0,9570.0
Iowa,26.0,0.7,4.6,3.4,18.0,3.4,Q1,IA,2015,12500.0,17500.0,3100.0,1700.0,270.0,2015Q1,Midwest,18.0,2.0,9400.0,11370.0
Iowa,21.5,5.1,2.9,7.8,2.7,1.9,Q2,IA,2015,12500.0,24000.0,1400.0,6500.0,3100.0,2015Q2,Midwest,6.0,13.0,11100.0,20700.0
Iowa,17.4,5.8,0.1,4.7,5.6,3.4,Q3,IA,2015,29000.0,37000.0,3000.0,640.0,680.0,2015Q3,Midwest,8.0,2.0,26000.0,27320.0
Iowa,53.4,0.9,0.6,6.4,24.8,1.4,Q4,IA,2015,35000.0,35000.0,4300.0,40.0,30.0,2015Q4,Midwest,12.0,0.0,30700.0,30770.0
Iowa,52.8,14.4,13.8,2.7,24.0,4.8,Q1,IA,2016,13000.0,13000.0,2900.0,90.0,395.0,2016Q1,Midwest,22.0,3.0,10100.0,10585.0
Iowa,23.5,17.8,18.7,0.6,6.0,5.7,Q2,IA,2016,10500.0,26000.0,2400.0,26000.0,760.0,2016Q2,Midwest,9.0,3.0,8100.0,34860.0
Iowa,32.6,3.4,0.8,16.7,2.4,5.6,Q3,IA,2016,50000.0,50000.0,5500.0,10500.0,2400.0,2016Q3,Midwest,11.0,5.0,44500.0,57400.0
Iowa,18.7,9.8,8.9,9.0,11.4,6.3,Q4,IA,2016,54000.0,54000.0,4700.0,5285.0,20.0,2016Q4,Midwest,9.0,0.0,49300.0,54605.0
Iowa,33.6,8.3,8.4,12.0,11.9,11.7,Q1,IA,2017,10000.0,15500.0,3000.0,70.0,1960.0,2017Q1,Midwest,19.0,20.0,7000.0,9030.0
Iowa,39.3,27.6,7.5,26.6,8.1,0.9,Q2,IA,2017,12000.0,23000.0,2400.0,23000.0,3900.0,2017Q2,Midwest,10.0,17.0,9600.0,36500.0
Iowa,17.2,7.2,2.4,3.9,4.0,2.2,Q3,IA,2017,40000.0,43000.0,2200.0,2100.0,4000.0,2017Q3,Midwest,5.0,9.0,37800.0,43900.0
Iowa,61.0,25.5,12.3,32.6,17.9,5.5,Q4,IA,2017,45000.0,45000.0,6500.0,250.0,3400.0,2017Q4,Midwest,14.0,8.0,38500.0,42150.0
Iowa,5.3,1.1,0.3,0.6,0.6,1.4,Q1,IA,2018,41000.0,44000.0,2100.0,270.0,110.0,2018Q1,Midwest,5.0,0.0,38900.0,39280.0
Iowa,12.7,9.3,0.9,7.9,8.4,0.3,Q2,IA,2018,45000.0,47000.0,4300.0,15500.0,4800.0,2018Q2,Midwest,9.0,10.0,40700.0,61000.0
Iowa,29.9,9.8,8.5,0.4,1.9,0.4,Q3,IA,2018,56000.0,57000.0,3600.0,1200.0,990.0,2018Q3,Midwest,6.0,2.0,52400.0,54590.0
Iowa,55.1,27.2,8.9,31.6,29.4,5.6,Q4,IA,2018,21000.0,21000.0,4200.0,630.0,80.0,2018Q4,Midwest,20.0,0.0,16800.0,17510.0
Iowa,34.8,1.7,0.6,0.3,7.7,3.5,Q1,IA,2019,7500.0,11500.0,1600.0,170.0,140.0,2019Q1,Midwest,14.0,1.0,5900.0,6210.0
Iowa,37.1,4.4,3.2,13.3,17.75,3.55,Q2,IA,2019,18750.0,22250.0,2500.0,1085.0,2470.0,2019Q2,Midwest,13.0,13.0,16250.0,19805.0
Iowa,39.4,7.1,5.8,26.3,27.8,3.6,Q3,IA,2019,30000.0,33000.0,3400.0,2000.0,4800.0,2019Q3,Midwest,10.0,15.0,26600.0,33400.0
Iowa,61.0,17.8,5.6,25.2,19.7,4.2,Q4,IA,2019,32000.0,32000.0,7500.0,1500.0,530.0,2019Q4,Midwest,23.0,2.0,24500.0,26530.0
Iowa,22.3,1.9,11.1,0.0,5.7,5.5,Q1,IA,2020,9000.0,17000.0,1600.0,6000.0,420.0,2020Q1,Midwest,9.0,2.0,7400.0,13820.0
Iowa,30.6,24.7,16.6,0.8,3.5,0.5,Q2,IA,2020,21000.0,29000.0,3600.0,17000.0,4700.0,2020Q2,Midwest,12.0,16.0,17400.0,39100.0
Iowa,49.1,29.4,3.9,6.3,4.5,0.0,Q3,IA,2020,34000.0,38000.0,1800.0,1100.0,2900.0,2020Q3,Midwest,5.0,8.0,32200.0,36200.0
Iowa,39.8,0.9,2.6,0.0,1.8,1.4,Q4,IA,2020,38000.0,38000.0,4800.0,700.0,850.0,2020Q4,Midwest,13.0,2.0,33200.0,34750.0
Kansas,32.7,1.3,1.1,14.2,9.5,3.4,Q1,KS,2015,4600.0,7000.0,1600.0,450.0,70.0,2015Q1,Midwest,23.0,1.0,3000.0,3520.0
Kansas,14.4,2.4,0.9,0.1,3.5,4.9,Q2,KS,2015,6000.0,7000.0,670.0,2800.0,420.0,2015Q2,Midwest,10.0,6.0,5330.0,8550.0
Kansas,22.5,16.2,0.2,14.1,14.8,1.7,Q3,KS,2015,9000.0,9500.0,1000.0,100.0,160.0,2015Q3,Midwest,11.0,2.0,8000.0,8260.0
Kansas,44.5,24.8,0.2,25.1,33.9,19.0,Q4,KS,2015,8500.0,8500.0,3400.0,50.0,20.0,2015Q4,Midwest,40.0,0.0,5100.0,5170.0
Kansas,30.3,10.0,0.1,1.1,2.4,5.4,Q1,KS,2016,5000.0,5000.0,1100.0,1400.0,100.0,2016Q1,Midwest,22.0,2.0,3900.0,5400.0
Kansas,47.3,11.6,2.8,8.3,3.7,1.8,Q2,KS,2016,4700.0,6000.0,960.0,3000.0,900.0,2016Q2,Midwest,16.0,15.0,3740.0,7640.0
Kansas,42.8,25.5,14.1,29.1,4.5,2.6,Q3,KS,2016,8000.0,8000.0,2600.0,310.0,190.0,2016Q3,Midwest,33.0,2.0,5400.0,5900.0
Kansas,29.2,8.3,0.3,3.1,5.1,1.4,Q4,KS,2016,5000.0,5000.0,1300.0,200.0,285.0,2016Q4,Midwest,26.0,6.0,3700.0,4185.0
Kansas,47.2,3.0,0.5,3.6,16.4,14.3,Q1,KS,2017,3800.0,3800.0,1000.0,930.0,380.0,2017Q1,Midwest,26.0,10.0,2800.0,4110.0
Kansas,17.3,8.5,0.7,22.6,1.7,6.4,Q2,KS,2017,3800.0,6000.0,390.0,2500.0,870.0,2017Q2,Midwest,7.0,15.0,3410.0,6780.0
Kansas,65.4,52.6,14.8,20.3,1.1,7.4,Q3,KS,2017,7000.0,7000.0,1700.0,1400.0,1000.0,2017Q3,Midwest,24.0,14.0,5300.0,7700.0
Kansas,17.9,7.7,3.3,8.6,0.6,10.2,Q4,KS,2017,6500.0,6500.0,830.0,140.0,40.0,2017Q4,Midwest,13.0,1.0,5670.0,5850.0
Kansas,63.0,20.3,1.0,4.3,27.9,9.1,Q1,KS,2018,3700.0,3700.0,950.0,370.0,410.0,2018Q1,Midwest,26.0,11.0,2750.0,3530.0
Kansas,42.8,31.6,1.3,24.9,2.1,1.6,Q2,KS,2018,3900.0,3900.0,300.0,3500.0,2100.0,2018Q2,Midwest,8.0,54.0,3600.0,9200.0
Kansas,76.8,51.1,6.6,8.0,23.7,7.9,Q3,KS,2018,6000.0,6000.0,950.0,300.0,180.0,2018Q3,Midwest,16.0,3.0,5050.0,5530.0
Kansas,62.0,31.3,26.0,43.7,1.6,26.4,Q4,KS,2018,5500.0,5500.0,1000.0,420.0,10.0,2018Q4,Midwest,18.0,0.0,4500.0,4930.0
Kansas,86.9,7.8,2.5,12.2,21.6,4.0,Q1,KS,2019,4500.0,4500.0,1500.0,370.0,110.0,2019Q1,Midwest,33.0,2.0,3000.0,3480.0
